File,Datetime,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
"SYNC/Cam01/2021-03-07/09 Camera 1 - 3-7-2021, 6.16.00am (11).mp4",2021-03-07 06:16:00,22.0,Spectrogram 1,1.0,228.0,231.0,150.0,12000.0,amerob,American Robin,0.1646
SYNC/Cam10/2020-04-26/UniFiVideo.Export.20200427.024001-20200426.132000/20200427.010001.JRNVR1Cam10.mp4,2020-04-27 03:00:01,41.0,Spectrogram 1,1.0,132.0,135.0,150.0,12000.0,gnttow,Green-tailed Towhee,0.2737
"SYNC/Cam07/2021-04-16/04 Camera 7 - 4-16-2021, 4.00.00am (6).mp4",2021-04-16 04:00:00,90.0,Spectrogram 1,1.0,390.0,393.0,150.0,12000.0,y00475,American Coot,0.6989
"SYNC/Cam07/2021-02-10/04 Camera 7 - 2-10-2021, 4.00.00am (9).mp4",2021-02-10 04:00:00,148.0,Spectrogram 1,1.0,1917.0,1920.0,150.0,12000.0,gadwal,Gadwall,0.6356
"SYNC/Cam07/2021-04-19/04 Camera 7 - 4-19-2021, 4.00.00am - 1.mp4",2021-04-19 04:00:00,147.0,Spectrogram 1,1.0,2439.0,2442.0,150.0,12000.0,eurgol,European Goldfinch,0.2149
"SYNC/Cam07/2021-02-02/04 Camera 7 - 2-2-2021, 12.30.00am (10).mp4",2021-02-02 00:30:00,348.0,Spectrogram 1,1.0,1896.0,1899.0,150.0,12000.0,easpho,Eastern Phoebe,0.1166
"SYNC/Cam07/2021-02-03/04 Camera 7 - 2-3-2021, 12.30.00am.mp4",2021-02-03 00:30:00,38.0,Spectrogram 1,1.0,561.0,564.0,150.0,12000.0,mallar3,Mallard,0.2217
"SYNC/Cam02/2021-04-26/10 Camera 2 - 4-26-2021, 6.10.00am (6).mp4",2021-04-26 06:10:00,427.0,Spectrogram 1,1.0,2961.0,2964.0,150.0,12000.0,bkcspa,Black-chinned Sparrow,0.1892
"SYNC/Cam07/2021-04-22/04 Camera 7 - 4-22-2021, 4.00.00am - 3.mp4",2021-04-22 04:00:00,334.0,Spectrogram 1,1.0,1179.0,1182.0,150.0,12000.0,leabit,Least Bittern,0.1252
scrubbed/Scrubbed_Files_03/lake1/20180510/proc_lake1_PST_D20180510T190055m478.wav,2018-05-10 19:00:55,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,amecro,American Crow,0.5864
