id,File,Datetime,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
1517037,"SYNC/Cam10/2021-03-03/11 Camera 10 - 3-3-2021, 6.12.00am (3).mp4",2021-03-03 06:12:00,30.0,Spectrogram 1,1.0,354.0,357.0,150.0,12000.0,norfli,Northern Flicker,0.5185
1518083,"SYNC/Cam10/2021-03-03/11 Camera 10 - 3-3-2021, 6.12.00am (1).mp4",2021-03-03 06:12:00,333.0,Spectrogram 1,1.0,3585.0,3588.0,150.0,12000.0,banswa,Bank Swallow,0.285
1522000,"SYNC/Cam09/2021-03-04/06 Camera 9 - 3-4-2021, 4.00.00am (13).mp4",2021-03-04 04:00:00,5.0,Spectrogram 1,1.0,567.0,570.0,150.0,12000.0,merlin,Merlin,0.4887
1523097,"SYNC/Cam09/2021-03-04/06 Camera 9 - 3-4-2021, 4.00.00am (4).mp4",2021-03-04 04:00:00,69.0,Spectrogram 1,1.0,696.0,699.0,150.0,12000.0,yerwar,Yellow-rumped Warbler,0.2548
1524047,"SYNC/Cam09/2021-03-04/06 Camera 9 - 3-4-2021, 4.00.00am (2).mp4",2021-03-04 04:00:00,122.0,Spectrogram 1,1.0,2613.0,2616.0,150.0,12000.0,yerwar,Yellow-rumped Warbler,0.1386
1531390,"SYNC/Cam02/2021-03-04/10 Camera 2 - 3-4-2021, 6.23.00am (3).mp4",2021-03-04 06:23:00,19.0,Spectrogram 1,1.0,159.0,162.0,150.0,12000.0,cowscj1,California Scrub-Jay,0.8573
1540918,"SYNC/Cam01/2021-03-05/09 Camera 1 - 3-5-2021, 6.16.00am (2).mp4",2021-03-05 06:16:00,136.0,Spectrogram 1,1.0,732.0,735.0,150.0,12000.0,purfin,Purple Finch,0.1133
1542009,"SYNC/Cam01/2021-03-05/09 Camera 1 - 3-5-2021, 6.16.00am (5).mp4",2021-03-05 06:16:00,476.0,Spectrogram 1,1.0,3351.0,3354.0,150.0,12000.0,spotow,Spotted Towhee,0.963
1542667,"SYNC/Cam02/2021-03-05/10 Camera 2 - 3-5-2021, 6.23.00am (3).mp4",2021-03-05 06:23:00,80.0,Spectrogram 1,1.0,537.0,540.0,150.0,12000.0,orcwar,Orange-crowned Warbler,0.4921
1545032,"SYNC/Cam02/2021-03-05/10 Camera 2 - 3-5-2021, 6.23.00am (4).mp4",2021-03-05 06:23:00,632.0,Spectrogram 1,1.0,2595.0,2598.0,150.0,12000.0,oaktit,Oak Titmouse,0.9431
1546095,"SYNC/Cam07/2021-03-06/04 Camera 7 - 3-6-2021, 4.00.00am (12).mp4",2021-03-06 04:00:00,38.0,Spectrogram 1,1.0,531.0,534.0,150.0,12000.0,mallar3,Mallard,0.4075
1546242,"SYNC/Cam09/2021-03-06/06 Camera 9 - 3-6-2021, 4.00.00am (5).mp4",2021-03-06 04:00:00,47.0,Spectrogram 1,1.0,330.0,333.0,150.0,12000.0,wilfly,Willow Flycatcher,0.2958
1550880,"SYNC/Cam09/2021-03-06/06 Camera 9 - 3-6-2021, 4.00.00am (5).mp4",2021-03-06 04:00:00,345.0,Spectrogram 1,1.0,1677.0,1680.0,150.0,12000.0,acowoo,Acorn Woodpecker,0.3305
1558586,"SYNC/Cam02/2021-03-06/10 Camera 2 - 3-6-2021, 6.23.00am (2).mp4",2021-03-06 06:23:00,484.0,Spectrogram 1,1.0,3108.0,3111.0,150.0,12000.0,daejun,Dark-eyed Junco,0.1434
1561683,"SYNC/Cam09/2021-03-07/06 Camera 9 - 3-7-2021, 4.00.00am (1).mp4",2021-03-07 04:00:00,146.0,Spectrogram 1,1.0,3213.0,3216.0,150.0,12000.0,wiltur,Wild Turkey,0.7517
1565368,"SYNC/Cam10/2021-03-07/11 Camera 10 - 3-7-2021, 6.12.00am (1).mp4",2021-03-07 06:12:00,199.0,Spectrogram 1,1.0,999.0,1002.0,150.0,12000.0,spotow,Spotted Towhee,0.3993
1567324,"SYNC/Cam01/2021-03-07/09 Camera 1 - 3-7-2021, 6.16.00am (3).mp4",2021-03-07 06:16:00,275.0,Spectrogram 1,1.0,1491.0,1494.0,150.0,12000.0,caltow,California Towhee,0.2311
1572361,"SYNC/Cam07/2021-03-08/04 Camera 7 - 3-8-2021, 4.00.00am (9).mp4",2021-03-08 04:00:00,111.0,Spectrogram 1,1.0,3516.0,3519.0,150.0,12000.0,cangoo,Canada Goose,0.1019
1574419,"SYNC/Cam09/2021-03-08/06 Camera 9 - 3-8-2021, 4.00.00am (2).mp4",2021-03-08 04:00:00,408.0,Spectrogram 1,1.0,3045.0,3048.0,150.0,12000.0,spotow,Spotted Towhee,0.1759
1578851,"SYNC/Cam07/2021-03-09/04 Camera 7 - 3-9-2021, 4.00.00am (4).mp4",2021-03-09 04:00:00,64.0,Spectrogram 1,1.0,552.0,555.0,150.0,12000.0,spotow,Spotted Towhee,0.1328
1579180,"SYNC/Cam07/2021-03-09/04 Camera 7 - 3-9-2021, 4.00.00am (8).mp4",2021-03-09 04:00:00,88.0,Spectrogram 1,1.0,1488.0,1491.0,150.0,12000.0,rethaw,Red-tailed Hawk,0.1371
1579682,"SYNC/Cam07/2021-03-09/04 Camera 7 - 3-9-2021, 4.00.00am (9).mp4",2021-03-09 04:00:00,129.0,Spectrogram 1,1.0,1251.0,1254.0,150.0,12000.0,gadwal,Gadwall,0.2336
1579873,"SYNC/Cam09/2021-03-09/06 Camera 9 - 3-9-2021, 4.00.00am (2).mp4",2021-03-09 04:00:00,149.0,Spectrogram 1,1.0,1533.0,1536.0,150.0,12000.0,caltow,California Towhee,0.5528
1579889,"SYNC/Cam07/2021-03-09/04 Camera 7 - 3-9-2021, 4.00.00am (9).mp4",2021-03-09 04:00:00,150.0,Spectrogram 1,1.0,1365.0,1368.0,150.0,12000.0,gadwal,Gadwall,0.8509
1582982,"SYNC/Cam01/2021-03-09/09 Camera 1 - 3-9-2021, 6.16.00am (2).mp4",2021-03-09 06:16:00,73.0,Spectrogram 1,1.0,1074.0,1077.0,150.0,12000.0,blkpho,Black Phoebe,0.2174
1589186,"SYNC/Cam07/2021-03-10/04 Camera 7 - 3-10-2021, 4.00.00am (6).mp4",2021-03-10 04:00:00,294.0,Spectrogram 1,1.0,2025.0,2028.0,150.0,12000.0,btywar,Black-throated Gray Warbler,0.1198
1590330,"SYNC/Cam07/2021-03-11/04 Camera 7 - 3-11-2021, 4.00.00am (13).mp4",2021-03-11 04:00:00,8.0,Spectrogram 1,1.0,21.0,24.0,150.0,12000.0,gadwal,Gadwall,0.1923
1591146,"SYNC/Cam07/2021-03-11/04 Camera 7 - 3-11-2021, 4.00.00am (4).mp4",2021-03-11 04:00:00,51.0,Spectrogram 1,1.0,213.0,216.0,150.0,12000.0,gadwal,Gadwall,0.9425
1591932,"SYNC/Cam07/2021-03-11/04 Camera 7 - 3-11-2021, 4.00.00am (8).mp4",2021-03-11 04:00:00,97.0,Spectrogram 1,1.0,879.0,882.0,150.0,12000.0,nopowl,Northern Pygmy-Owl,0.3322
1601672,"SYNC/Cam07/2021-03-12/04 Camera 7 - 3-12-2021, 4.00.00am (12).mp4",2021-03-12 04:00:00,254.0,Spectrogram 1,1.0,1092.0,1095.0,150.0,12000.0,yerwar,Yellow-rumped Warbler,0.1374
1606570,"SYNC/Cam07/2021-03-18/04 Camera 7 - 3-18-2021, 4.00.00am (10).mp4",2021-03-18 04:00:00,96.0,Spectrogram 1,1.0,2901.0,2904.0,150.0,12000.0,yerwar,Yellow-rumped Warbler,0.1018
1607562,"SYNC/Cam09/2021-03-18/06 Camera 9 - 3-18-2021, 4.00.00am (4).mp4",2021-03-18 04:00:00,182.0,Spectrogram 1,1.0,741.0,744.0,150.0,12000.0,caltow,California Towhee,0.6445
1608491,"SYNC/Cam09/2021-03-18/06 Camera 9 - 3-18-2021, 4.00.00am (5).mp4",2021-03-18 04:00:00,314.0,Spectrogram 1,1.0,2172.0,2175.0,150.0,12000.0,caltow,California Towhee,0.2909
1611275,"SYNC/Cam01/2021-03-18/09 Camera 1 - 3-18-2021, 7.16.00am (9).mp4",2021-03-18 07:16:00,30.0,Spectrogram 1,1.0,1923.0,1926.0,150.0,12000.0,pygnut,Pygmy Nuthatch,0.1498
1616596,"SYNC/Cam09/2021-03-19/06 Camera 9 - 3-19-2021, 4.00.00am (6).mp4",2021-03-19 04:00:00,205.0,Spectrogram 1,1.0,1083.0,1086.0,150.0,12000.0,calqua,California Quail,0.2518
1618278,"SYNC/Cam07/2021-03-19/04 Camera 7 - 3-19-2021, 4.00.00am (5).mp4",2021-03-19 04:00:00,341.0,Spectrogram 1,1.0,1815.0,1818.0,150.0,12000.0,comyel,Common Yellowthroat,0.3121
1618715,"SYNC/Cam07/2021-03-19/04 Camera 7 - 3-19-2021, 4.00.00am (5).mp4",2021-03-19 04:00:00,390.0,Spectrogram 1,1.0,2070.0,2073.0,150.0,12000.0,wilfly,Willow Flycatcher,0.1306
1623332,"SYNC/Cam02/2021-03-19/10 Camera 2 - 3-19-2021, 7.23.00am (9).mp4",2021-03-19 07:23:00,11.0,Spectrogram 1,1.0,402.0,405.0,150.0,12000.0,calthr,California Thrasher,0.1201
1625045,"SYNC/Cam02/2021-03-19/10 Camera 2 - 3-19-2021, 7.23.00am (7).mp4",2021-03-19 07:23:00,278.0,Spectrogram 1,1.0,1713.0,1716.0,150.0,12000.0,orcwar,Orange-crowned Warbler,0.1685
1630160,"SYNC/Cam09/2021-03-20/06 Camera 9 - 3-20-2021, 4.00.00am (5).mp4",2021-03-20 04:00:00,238.0,Spectrogram 1,1.0,1587.0,1590.0,150.0,12000.0,yerwar,Yellow-rumped Warbler,0.8234
1634836,"SYNC/Cam01/2021-03-20/09 Camera 1 - 3-20-2021, 6.02.00am (4).mp4",2021-03-20 06:02:00,106.0,Spectrogram 1,1.0,1047.0,1050.0,150.0,12000.0,wrenti,Wrentit,0.7403
1637997,"SYNC/Cam02/2021-03-20/10 Camera 2 - 3-20-2021, 6.09.00am (5).mp4",2021-03-20 06:09:00,312.0,Spectrogram 1,1.0,1404.0,1407.0,150.0,12000.0,daejun,Dark-eyed Junco,0.4448
1639806,"SYNC/Cam07/2021-03-21/04 Camera 7 - 3-21-2021, 4.00.00am (12).mp4",2021-03-21 04:00:00,20.0,Spectrogram 1,1.0,363.0,366.0,150.0,12000.0,pibgre,Pied-billed Grebe,0.7241
1639928,"SYNC/Cam09/2021-03-21/06 Camera 9 - 3-21-2021, 4.00.00am (12).mp4",2021-03-21 04:00:00,27.0,Spectrogram 1,1.0,804.0,807.0,150.0,12000.0,houfin,House Finch,0.546
1640069,"SYNC/Cam09/2021-03-21/06 Camera 9 - 3-21-2021, 4.00.00am (14).mp4",2021-03-21 04:00:00,34.0,Spectrogram 1,1.0,456.0,459.0,150.0,12000.0,wilfly,Willow Flycatcher,0.2362
1640882,"SYNC/Cam09/2021-03-21/06 Camera 9 - 3-21-2021, 4.00.00am (4).mp4",2021-03-21 04:00:00,79.0,Spectrogram 1,1.0,636.0,639.0,150.0,12000.0,caltow,California Towhee,0.2578
1643162,"SYNC/Cam09/2021-03-21/06 Camera 9 - 3-21-2021, 4.00.00am (4).mp4",2021-03-21 04:00:00,281.0,Spectrogram 1,1.0,2082.0,2085.0,150.0,12000.0,calqua,California Quail,0.4983
1644056,"SYNC/Cam07/2021-03-21/04 Camera 7 - 3-21-2021, 4.00.00am (4).mp4",2021-03-21 04:00:00,437.0,Spectrogram 1,1.0,1890.0,1893.0,150.0,12000.0,mallar3,Mallard,0.6978
1645803,"SYNC/Cam10/2021-03-21/11 Camera 10 - 3-21-2021, 6.00.00am.mp4",2021-03-21 06:00:00,297.0,Spectrogram 1,1.0,2586.0,2589.0,150.0,12000.0,spotow,Spotted Towhee,0.7044
1648489,"SYNC/Cam02/2021-03-21/10 Camera 2 - 3-21-2021, 6.09.00am (1).mp4",2021-03-21 06:09:00,70.0,Spectrogram 1,1.0,477.0,480.0,150.0,12000.0,oaktit,Oak Titmouse,0.3462
1652008,"SYNC/Cam07/2021-03-22/04 Camera 7 - 3-22-2021, 4.00.00am (12).mp4",2021-03-22 04:00:00,80.0,Spectrogram 1,1.0,1215.0,1218.0,150.0,12000.0,y00475,American Coot,0.1233
1652831,"SYNC/Cam07/2021-03-22/04 Camera 7 - 3-22-2021, 4.00.00am (5).mp4",2021-03-22 04:00:00,125.0,Spectrogram 1,1.0,747.0,750.0,150.0,12000.0,comyel,Common Yellowthroat,0.4756
1655775,"SYNC/Cam09/2021-03-22/06 Camera 9 - 3-22-2021, 4.00.00am (14).mp4",2021-03-22 04:00:00,340.0,Spectrogram 1,1.0,1977.0,1980.0,150.0,12000.0,yerwar,Yellow-rumped Warbler,0.5279
1656546,"SYNC/Cam07/2021-03-22/04 Camera 7 - 3-22-2021, 4.00.00am (4).mp4",2021-03-22 04:00:00,450.0,Spectrogram 1,1.0,2682.0,2685.0,150.0,12000.0,pibgre,Pied-billed Grebe,0.6851
1661814,"SYNC/Cam02/2021-03-22/10 Camera 2 - 3-22-2021, 6.09.00am (4).mp4",2021-03-22 06:09:00,64.0,Spectrogram 1,1.0,255.0,258.0,150.0,12000.0,chispa,Chipping Sparrow,0.1208
1665789,"SYNC/Cam09/2021-03-23/06 Camera 9 - 3-23-2021, 4.00.00am (11).mp4",2021-03-23 04:00:00,60.0,Spectrogram 1,1.0,507.0,510.0,150.0,12000.0,acowoo,Acorn Woodpecker,0.9881
1665903,"SYNC/Cam09/2021-03-23/06 Camera 9 - 3-23-2021, 4.00.00am (3).mp4",2021-03-23 04:00:00,70.0,Spectrogram 1,1.0,333.0,336.0,150.0,12000.0,caltow,California Towhee,0.4325
1668965,"SYNC/Cam10/2021-03-23/11 Camera 10 - 3-23-2021, 5.57.00am (2).mp4",2021-03-23 05:57:00,23.0,Spectrogram 1,1.0,372.0,375.0,150.0,12000.0,wesmea,Western Meadowlark,0.1181
1669543,"SYNC/Cam10/2021-03-23/11 Camera 10 - 3-23-2021, 5.57.00am (3).mp4",2021-03-23 05:57:00,312.0,Spectrogram 1,1.0,1830.0,1833.0,150.0,12000.0,spotow,Spotted Towhee,0.8454
